platform	source	classification	matched_game_id	matched_rom_name	note
fc	Armadillo (Japan).zip	filename_exact_hash_mismatch_processable	armadillo	Armadillo (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Artelius (Japan).zip	filename_exact_hash_mismatch_processable	artelius	Artelius (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Asmik-kun Land (Japan).zip	filename_exact_hash_mismatch_processable	asmik-kun-land	Asmik-kun Land (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Astro Robo Sasa (Japan) (En).zip	filename_exact_hash_mismatch_processable	astro-robo-sasa	Astro Robo Sasa (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Athena (Japan).zip	filename_base_hash_mismatch_review	athena	Athena (Japan) (En)|Athena (USA)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	Attack Animal Gakuen (Japan) (En) (Famicom 3D System).zip	filename_exact_hash_mismatch_processable	attack-animal-gakuen	Attack Animal Gakuen (Japan) (En) (Famicom 3D System)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	B-Wings (Japan) (En).zip	filename_exact_hash_mismatch_processable	b-wings	B-Wings (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Baken Hisshou Gaku - Gate In (Japan).zip	filename_exact_hash_mismatch_processable	baken-hisshou-gaku-gate-in	Baken Hisshou Gaku - Gate In (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Bakushou!! Ai no Gekijou (Japan).zip	filename_exact_hash_mismatch_processable	bakushou-ai-no-gekijou	Bakushou!! Ai no Gekijou (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Bakushou!! Jinsei Gekijou 2 (Japan).zip	filename_exact_hash_mismatch_processable	bakushou-jinsei-gekijou-2	Bakushou!! Jinsei Gekijou 2 (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Ballblazer (Japan) (En).zip	filename_exact_hash_mismatch_processable	ballblazer	Ballblazer (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Balloon Fight (Japan).zip	filename_base_hash_mismatch_review	balloon-fight	Balloon Fight (Europe)|Balloon Fight (Japan) (En)|Balloon Fight (USA)|Balloon Fight (Japan) (En) (Animal Crossing)|Balloon Fight (Europe) (Virtual Console)|Balloon Fight (USA) (e-Reader)|Balloon Fight (Taiwan) (En) (Pirate)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	Banana (Japan).zip	filename_base_hash_mismatch_review	banana	Banana (Japan) (En)|Banana (Japan) (En) (Beta 1)|Banana (Japan) (En) (Beta 2) (1986-06-30)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	Bard's Tale, The (Japan).zip	filename_exact_hash_mismatch_processable	the-bards-tale	Bard's Tale, The (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Baseball (Japan).zip	filename_base_hash_mismatch_review	baseball	Baseball (Japan) (En)|Baseball (USA, Europe)|Baseball (USA, Europe) (Animal Crossing)|Baseball (Japan) (En) (Animal Crossing)|Baseball (USA) (e-Reader)|Baseball (Taiwan) (En) (Pirate)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	Baseball Fighter (Japan).zip	filename_exact_hash_mismatch_processable	baseball-fighter	Baseball Fighter (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Baseball Star - Mezase Sankanou!! (Japan).zip	filename_exact_hash_mismatch_processable	baseball-star-mezase-sankanou	Baseball Star - Mezase Sankanou!! (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Batman (Japan) (En).zip	filename_exact_hash_mismatch_processable	batman-the-video-game	Batman (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Batsu & Terry - Makyou no Tetsujin Race (Japan) (En).zip	filename_exact_hash_mismatch_processable	batsu-and-terry-makyou-no-tetsujin-race	Batsu & Terry - Makyou no Tetsujin Race (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Battle Baseball (Japan).zip	filename_exact_hash_mismatch_processable	battle-baseball	Battle Baseball (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Battle Fleet (Japan).zip	filename_exact_hash_mismatch_processable	battle-fleet	Battle Fleet (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Battle Formula (Japan) (En).zip	filename_exact_hash_mismatch_processable	super-spy-hunter	Battle Formula (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Battle Rush - Build Up Robot Tournament (Japan) (Datach).zip	filename_exact_hash_mismatch_processable	battle-rush-build-up-robot-tournament	Battle Rush - Build Up Robot Tournament (Japan) (Datach)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Battle Storm (Japan).zip	filename_exact_hash_mismatch_processable	battle-storm	Battle Storm (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	BattleCity (Japan) (En).zip	filename_exact_hash_mismatch_processable	battlecity	BattleCity (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Best Play Pro Yakyuu '90 (Japan).zip	filename_exact_hash_mismatch_processable	best-play-pro-yakyuu-90	Best Play Pro Yakyuu '90 (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Best Play Pro Yakyuu (Japan) (Rev 1).zip	filename_exact_hash_mismatch_processable	best-play-pro-yakyuu	Best Play Pro Yakyuu (Japan) (Rev 1)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Bikkuri Nekketsu Shin Kiroku! - Harukanaru Kin Medal (Japan).zip	filename_exact_hash_mismatch_processable	bikkuri-nekketsu-shin-kiroku-harukanaru-kin-medal	Bikkuri Nekketsu Shin Kiroku! - Harukanaru Kin Medal (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Bio Miracle Bokutte Upa (Japan) (En).zip	filename_exact_hash_mismatch_processable	bio-miracle-bokutte-upa	Bio Miracle Bokutte Upa (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Bird Week (Japan) (En).zip	filename_exact_hash_mismatch_processable	bird-week	Bird Week (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Blodia Land - Puzzle Quest (Japan) (En).zip	filename_exact_hash_mismatch_processable	blodia-land-puzzle-quest	Blodia Land - Puzzle Quest (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Bokosuka Wars (Japan) (En).zip	filename_exact_hash_mismatch_processable	bokosuka-wars	Bokosuka Wars (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Bomberman (Japan) (En).zip	filename_exact_hash_mismatch_processable	bomberman	Bomberman (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Bomberman II (Japan) (En).zip	filename_exact_hash_mismatch_processable	bomberman-ii	Bomberman II (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Booby Kids (Japan) (En).zip	filename_exact_hash_mismatch_processable	booby-kids	Booby Kids (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Buggy Popper (Japan) (En).zip	filename_exact_hash_mismatch_processable	buggy-popper	Buggy Popper (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Cadillac (Japan).zip	filename_exact_hash_mismatch_processable	cadillac	Cadillac (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Capcom Barcelona '92 (Japan).zip	filename_exact_hash_mismatch_processable	capcom-barcelona-92	Capcom Barcelona '92 (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Captain Saver (Japan).zip	filename_exact_hash_mismatch_processable	power-blade	Captain Saver (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Captain Tsubasa (Japan).zip	filename_exact_hash_mismatch_processable	tecmo-cup-soccer-game	Captain Tsubasa (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Captain Tsubasa II - Super Striker (Japan).zip	filename_exact_hash_mismatch_processable	captain-tsubasa-vol-ii-super-striker	Captain Tsubasa II - Super Striker (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Casino Derby (Japan).zip	filename_exact_hash_mismatch_processable	casino-derby	Casino Derby (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Castle Excellent (Japan) (En).zip	filename_exact_hash_mismatch_processable	castlequest	Castle Excellent (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Cat Ninden Teyandee (Japan).zip	filename_exact_hash_mismatch_processable	kyatto-ninden-teyandee	Cat Ninden Teyandee (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Chack'n Pop (Japan) (En).zip	filename_exact_hash_mismatch_processable	chackn-pop	Chack'n Pop (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Challenger (Japan) (En).zip	filename_exact_hash_mismatch_processable	challenger	Challenger (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Championship Bowling (Japan) (En).zip	filename_exact_hash_mismatch_processable	championship-bowling	Championship Bowling (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Championship Lode Runner (Japan) (En).zip	filename_exact_hash_mismatch_processable	championship-lode-runner	Championship Lode Runner (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Chester Field - Ankoku Shin e no Chousen (Japan).zip	filename_exact_hash_mismatch_processable	chester-field-ankoku-shin-e-no-chousen	Chester Field - Ankoku Shin e no Chousen (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Chip to Dale no Daisakusen (Japan).zip	filename_exact_hash_mismatch_processable	chip-to-dale-no-daisakusen	Chip to Dale no Daisakusen (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Chitei Senkuu Vazolder (Japan).zip	filename_exact_hash_mismatch_processable	chitei-senkuu-vazolder	Chitei Senkuu Vazolder (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Chou Fuyuu Yousai - Exed Exes (Japan) (En).zip	filename_exact_hash_mismatch_processable	chou-fuyuu-yousai-exed-exes	Chou Fuyuu Yousai - Exed Exes (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Chou Hen (Japan) (Joy Van).zip	missing_or_wrong_platform	""	""	No ROM name match in this platform.
fc	Choujin Sentai - Jetman (Japan) (En).zip	filename_exact_hash_mismatch_processable	choujin-sentai-jetman	Choujin Sentai - Jetman (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Choujinrou Senki - Warwolf (Japan).zip	filename_exact_hash_mismatch_processable	choujinrou-senki-warwolf	Choujinrou Senki - Warwolf (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Chuugoku Janshi Story - Tonfuu (Japan).zip	filename_exact_hash_mismatch_processable	chuugoku-janshi-story-tonfuu	Chuugoku Janshi Story - Tonfuu (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	City Adventure Touch - Mystery of Triangle (Japan).zip	filename_exact_hash_mismatch_processable	city-adventure-touch-mystery-of-triangle	City Adventure Touch - Mystery of Triangle (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Clu Clu Land (Japan).zip	filename_base_hash_mismatch_review	clu-clu-land	Clu Clu Land (World)|Clu Clu Land (World) (Animal Crossing)|Clu Clu Land (World) (Virtual Console)|Clu Clu Land (USA) (e-Reader)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	Cobra Command (Japan).zip	filename_exact_hash_mismatch_processable	cobra-command	Cobra Command (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Columbus - Ougon no Yoake (Japan).zip	filename_exact_hash_mismatch_processable	columbus-ougon-no-yoake	Columbus - Ougon no Yoake (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Contra (Japan).zip	filename_exact_hash_mismatch_processable	contra	Contra (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Cosmic Wars (Japan).zip	filename_exact_hash_mismatch_processable	cosmic-wars	Cosmic Wars (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Cosmo Genesis (Japan).zip	filename_exact_hash_mismatch_processable	star-voyager	Cosmo Genesis (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Crayon Shin-chan - Ora to Poi Poi (Japan) (Datach).zip	filename_exact_hash_mismatch_processable	crayon-shin-chan-ora-to-poi-poi	Crayon Shin-chan - Ora to Poi Poi (Japan) (Datach)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Crazy Climber (Japan) (En).zip	filename_exact_hash_mismatch_processable	crazy-climber	Crazy Climber (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	CrossFire (Japan) (En).zip	filename_exact_hash_mismatch_processable	crossfire	CrossFire (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Daiva - Imperial of Nirsartia (Japan).zip	filename_exact_hash_mismatch_processable	daiva-imperial-of-nirsartia	Daiva - Imperial of Nirsartia (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	De-Block (Japan).zip	filename_exact_hash_mismatch_processable	de-block	De-Block (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Deep Dungeon III - Yuushi e no Tabi (Japan).zip	filename_exact_hash_mismatch_processable	deep-dungeon-iii-yuushi-e-no-tabi	Deep Dungeon III - Yuushi e no Tabi (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Deep Dungeon IV - Kuro no Youjutsushi (Japan).zip	filename_exact_hash_mismatch_processable	deep-dungeon-iv-kuro-no-youjutsushi	Deep Dungeon IV - Kuro no Youjutsushi (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Devil World (Japan) (Rev 1).zip	filename_exact_hash_mismatch_processable	devil-world	Devil World (Japan) (Rev 1)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dig Dug (Japan) (En).zip	filename_exact_hash_mismatch_processable	dig-dug	Dig Dug (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Digital Devil Monogatari - Megami Tensei (Japan).zip	missing_or_wrong_platform	""	""	No ROM name match in this platform.
fc	Digital Devil Story - Megami Tensei (Japan) (Rev 1).zip	filename_exact_hash_mismatch_processable	digital-devil-story-megami-tensei	Digital Devil Story - Megami Tensei (Japan) (Rev 1)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Digital Devil Story - Megami Tensei II (Japan) (Rev 1).zip	filename_exact_hash_mismatch_processable	digital-devil-story-megami-tensei-ii	Digital Devil Story - Megami Tensei II (Japan) (Rev 1)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Don Doko Don (Japan).zip	filename_exact_hash_mismatch_processable	don-doko-don	Don Doko Don (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Donald Land (Japan) (En).zip	filename_exact_hash_mismatch_processable	donald-land	Donald Land (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Donkey Kong (World) (Rev 1).zip	filename_exact_hash_mismatch_processable	donkey-kong	Donkey Kong (World) (Rev 1)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Donkey Kong 3 (Japan).zip	filename_base_hash_mismatch_review	donkey-kong-3	Donkey Kong 3 (World)|Donkey Kong 3 (World) (Animal Crossing)|Donkey Kong 3 (USA) (e-Reader)|Donkey Kong 3 (Asia) (En) (Whirlwind Manu) (Pirate)|Donkey Kong 3 (Asia) (En) (NTDEC) (Pirate)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	Donkey Kong Jr. (World) (Rev 1).zip	filename_exact_hash_mismatch_processable	donkey-kong-jr	Donkey Kong Jr. (World) (Rev 1)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Donkey Kong Jr. no Sansuu Asobi (Japan) (En).zip	filename_exact_hash_mismatch_processable	donkey-kong-jr-math	Donkey Kong Jr. no Sansuu Asobi (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Door Door (Japan) (En).zip	filename_exact_hash_mismatch_processable	door-door	Door Door (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Doraemon - Giga Zombie no Gyakushuu (Japan).zip	filename_exact_hash_mismatch_processable	doraemon-giga-zombie-no-gyakushuu	Doraemon - Giga Zombie no Gyakushuu (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dough Boy (Japan) (En).zip	filename_exact_hash_mismatch_processable	dough-boy	Dough Boy (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Downtown Special - Kunio-kun no Jidaigeki Da yo Zenin Shuugou! (Japan).zip	filename_exact_hash_mismatch_processable	downtown-special-kunio-kuns-historical-period-drama	Downtown Special - Kunio-kun no Jidaigeki Da yo Zenin Shuugou! (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dragon Ball 3 - Gokuu Den (Japan) (Rev 1).zip	filename_exact_hash_mismatch_processable	dragon-ball-3-gokuu-den	Dragon Ball 3 - Gokuu Den (Japan) (Rev 1)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dragon Ball Z - Gekitou Tenkaichi Budoukai (Japan) (Datach).zip	filename_exact_hash_mismatch_processable	dragon-ball-z-gekitou-tenkaichi-budoukai	Dragon Ball Z - Gekitou Tenkaichi Budoukai (Japan) (Datach)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dragon Ball Z II - Gekishin Freeza!! (Japan) (Rev 1).zip	filename_exact_hash_mismatch_processable	dragon-ball-z-ii-gekishin-freeza	Dragon Ball Z II - Gekishin Freeza!! (Japan) (Rev 1)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dragon Buster II - Yami no Fuuin (Japan) (En).zip	filename_exact_hash_mismatch_processable	dragon-buster-ii-yami-no-fuuin	Dragon Buster II - Yami no Fuuin (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dragon Quest II - Akuryou no Kamigami (Japan).zip	filename_exact_hash_mismatch_processable	dragon-quest-ii-akuryou-no-kamigami	Dragon Quest II - Akuryou no Kamigami (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dragon Quest III - Soshite Densetsu e... (Japan).zip	filename_exact_hash_mismatch_processable	dragon-quest-iii-soshite-densetsu-e	Dragon Quest III - Soshite Densetsu e... (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dragon Scroll - Yomigaerishi Maryuu (Japan).zip	filename_exact_hash_mismatch_processable	dragon-scroll-yomigaerishi-maryuu	Dragon Scroll - Yomigaerishi Maryuu (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Dragon Slayer IV - Drasle Family (Japan).zip	filename_exact_hash_mismatch_processable	dragon-slayer-iv-drasle-family	Dragon Slayer IV - Drasle Family (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Druaga no Tou (Japan).zip	filename_exact_hash_mismatch_processable	the-tower-of-druaga	Druaga no Tou (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
